Id,SalePrice
2658,130486.33017181163
2718,164340.49227477674
2414,218872.0952268809
1989,117973.31509878737
625,187693.57610637485
333,67557.41848192779
1327,107932.71458787062
858,138545.9470534037
95,169312.5985390629
1568,183296.61485472176
2482,158242.64047556825
1364,132609.7007590641
2584,158962.48262119349
818,274486.05451664294
2673,184798.88284089052
2089,141707.05977699373
1297,141744.85851629468
790,119137.21985114246
2616,233876.14893049275
720,190483.31740344953
222,148931.86009374494
557,123003.80080531762
1148,191985.78346407568
2766,169956.98675676424
534,190164.40964433728
1452,109983.49021171962
630,116943.98215342886
2648,131175.0366949503
125,149545.57268414574
1904,29719.66780827177
1670,97472.2567457521
756,69461.57337210343
717,241991.28998122865
1032,164596.61565131586
852,217919.48428887682
1731,193101.64991992782
2639,125871.82637785998
2071,84506.47976515863
1267,116685.03550943338
1851,197559.6800465344
567,138643.81671974235
2439,225609.39931683522
1898,163642.186581007
647,186446.1798817328
2256,220656.32398043433
979,83089.78335813689
1444,221085.8544450972
2485,134726.1867600914
157,127856.69785770823
88,123378.88294480371
2003,115515.58420900832
186,212998.90354610584
1425,254642.9282620664
2695,128067.19202105324
738,91587.55308978556
395,167179.80506131198
1353,178001.74281526564
1878,165088.62829557754
390,182564.6178771785
1456,241624.6770219216
1103,308385.28975513816
1387,112413.86977595201
2070,147181.58691615742
1199,186974.46601708897
2479,180334.96927727576
501,288946.1506788338
2362,83093.50041294491
1718,201351.2920309033
2188,60734.93779623046
1483,155852.94015510374
2557,74928.38817369698
437,320595.8682478906
2224,200655.0730415223
1628,187855.2213230596
397,133076.14266342932
587,197251.42072037683
971,178167.8899757316
2611,151346.62952427354
1887,91686.40534987075
2399,322951.1964798516
2148,211852.0451032745
304,125520.52183185032
1997,120783.95456344596
2817,113271.35066004403
1431,204481.89249169442
427,287785.8858884518
263,120988.75435876992
598,166045.8515320366
2895,248622.3597936745
687,137666.32506474655
1822,137361.58576634736
2191,100935.07970716132
179,130060.08701085745
1009,214316.30766783917
2010,125091.86106654344
1991,145042.37462177686
1411,197801.28269534538
1721,231648.30200884375
1144,198521.9569917559
593,230438.19518865226
575,287078.9785287324
1249,183527.1723662765
1604,134268.96082796095
1064,397427.516715168
1923,158041.68884151377
1988,103179.75038940419
2325,181198.58305414213
114,207630.64285566245
2700,175180.1340455147
217,133116.3259708676
343,192893.90358342178
386,233471.34776923258
2005,126418.8540956618
2908,137767.7871556478
1814,246652.59943618655
2446,429088.22947777546
208,122107.91554849414
1679,104762.99470365088
822,310648.2389557479
6,201218.98650857699
1781,358222.40813247534
2397,263995.61178330926
2340,291263.5069776452
1618,178824.31688754872
2843,98885.79547382543
1061,335888.39953581576
2786,111365.10206608137
1935,143483.93866349894
1341,118818.65219869102
521,270977.2762685314
2136,130823.03483832962
996,212367.55230642212
227,137581.65278705102
135,172872.5762686459
1167,166668.120062851
294,216383.7171029594
1776,202168.36757557525
540,187045.07540479815
1717,199373.87272986924
2303,133827.90681680758
116,189189.3993189691
127,134272.0612774864
1371,143050.33564498622
1014,176671.24090681953
1507,98586.86724190487
702,142790.3386995641
750,158070.4395364884
261,146471.08049416874
1559,46147.64130519866
577,231781.27630086977
2812,205923.2785485296
2080,162208.4051879139
1368,115687.37012131748
2376,126206.4248155239
659,107216.12178956677
1235,134562.40591881884
332,45975.30177814831
1917,152802.1781184096
2094,245104.21701987923
1460,265728.05997228075
1471,220167.73729367758
1509,118308.54176563917
1922,141210.33623833538
433,424907.52559553774
460,242136.8291812376
1116,248954.13964225142
1137,188467.1906508034
53,175099.9806665461
2354,267016.62968857295
1475,202605.35540224964
1761,395049.4426610582
842,145221.1451297411
2739,174984.39265316317
2509,149088.5710021183
1007,217242.14407192517
2610,195603.7677025714
1952,66845.19640659416
2719,166556.5091008404
2921,69190.17987436212
1966,135403.17710430632
292,114167.5463185194
1204,211112.8612079564
1829,261715.9998180722
2419,202513.2606595715
391,170241.68474856133
