Id,SalePrice
2658,172216.1314506263
2718,147188.752175065
2414,226307.77032626723
1989,134159.55820043478
625,160339.72307196097
333,78179.88700095471
1327,113685.56496570958
858,134498.32002698095
95,225297.76701528183
1568,159781.13982448634
2482,168943.0734576604
1364,156369.20060759247
2584,166773.98823326733
818,259076.5530406388
2673,211994.79652495403
2089,147945.9711669234
1297,157147.9360385763
790,119209.52869241964
2616,197477.37127919588
720,245772.0984078308
222,125019.91105436231
557,97045.1519296635
1148,195494.1229066518
2766,175220.6272674303
534,197810.2565450857
1452,99077.10126890428
630,142711.68476402527
2648,165089.35447292402
125,136412.34578752564
1904,27394.1548293354
1670,81060.97033115779
756,91489.52668815316
717,273316.182030116
1032,136792.36642734264
852,214821.25335319014
1731,218716.71275020344
2639,111931.74088365957
2071,71260.1487461098
1267,115928.09015758941
1851,200622.42463170155
567,173229.85671120905
2439,228224.3355207001
1898,142755.00329456432
647,162520.12517268723
2256,205933.4748568486
979,110017.96023372281
1444,232965.15519177145
2485,105257.70787931653
157,124111.04604917648
88,108321.68503576168
2003,126562.25781474286
186,281013.68968310463
1425,250261.29395736288
2695,150279.8687752441
738,105912.18011161056
395,152372.11740513495
1353,196269.588796278
1878,148276.79386488278
390,184291.4529464722
1456,235323.89722812548
1103,281926.3941997383
1387,117366.97981156991
2070,141322.27193748928
1199,203809.8335522241
2479,183209.54328195425
501,273297.1462897337
2362,75626.2364888324
1718,185643.3763410556
2188,51204.193106726976
1483,158377.43447603146
2557,74025.10681971093
437,306609.3587342689
2224,193895.86700881086
1628,208725.15617287555
397,111670.4700876635
587,198747.12175168307
971,195151.08393196692
2611,159795.1709658734
1887,95615.41236819676
2399,304434.8109207591
2148,209736.19363860576
304,157670.77364053787
1997,139107.71046712203
2817,122367.60177342547
1431,189884.08530407283
427,281695.8137750118
263,101541.57389229815
598,170129.74110204284
2895,262036.2087059617
687,176552.1461803394
1822,121956.79899399937
2191,129425.25760276266
179,163154.17372613517
1009,220757.0231585668
2010,134415.27669396205
1991,158903.1125059158
1411,134707.61943664937
1721,248269.71035271883
1144,193888.93059035926
593,247645.33838234167
575,267417.6059352786
1249,188073.4977082021
1604,111120.48426969186
1064,378693.670245301
1923,150904.37958809803
1988,112927.05774546624
2325,178880.3811997273
114,210970.92096647434
2700,185415.62168372865
